2026-06-03 13:37:23 [WARNING ] UNKNOWN device — TELESCOP='FutureScopeX 9000', INSTRUMENT='', CREATOR='', dimensions=9999×9999. Check surprises.log and update DEVICE_SIGNATURES if this is a new device.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='DWARF-III-V2' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (1080×1920) as SEESTAR_S50. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Unrecognised IMAGETYP value: 'Experimental' — falling back to inference.
2026-06-03 13:37:23 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=45.0, DEC=30.0.
2026-06-03 14:10:20 [INFO    ] Found 15408 FITS file(s) under /Users/edm/Astronomy/Astrocapture/2026
2026-06-03 14:10:20 [DEBUG   ] [1/15408] bias_gain_2_bin_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [2/15408] bias_gain_2_bin_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [3/15408] dark_exp_15.000000_gain_60_bin_1_34C_stack_3.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [4/15408] dark_exp_30.000000_gain_60_bin_1_34C_stack_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [5/15408] dark_exp_60.000000_gain_60_bin_1_34C_stack_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [6/15408] dark_exp_15.000000_gain_60_bin_1_34C_stack_3.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [7/15408] dark_exp_30.000000_gain_60_bin_1_34C_stack_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [8/15408] dark_exp_60.000000_gain_60_bin_1_34C_stack_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [9/15408] flat_gain_2_bin_1_ir_0.fits
2026-06-03 14:10:21 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:21 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:21 [DEBUG   ] [10/15408] flat_gain_2_bin_1_ir_1.fits
2026-06-03 14:10:21 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:21 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:21 [DEBUG   ] [11/15408] flat_gain_2_bin_1_ir_2.fits
2026-06-03 14:10:21 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:21 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:21 [DEBUG   ] [12/15408] flat_gain_2_bin_1.fits
2026-06-03 14:10:21 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:21 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:21 [DEBUG   ] [13/15408] raw_10s_60_0000_20260102-184951912_35C.fits
2026-06-03 14:10:21 [DEBUG   ] [14/15408] raw_10s_60_0001_20260102-185001916_35C.fits
2026-06-03 14:10:21 [DEBUG   ] [15/15408] raw_10s_60_0002_20260102-185011916_35C.fits
2026-06-03 14:10:21 [DEBUG   ] [16/15408] raw_10s_60_0003_20260102-185021916_35C.fits
2026-06-03 14:10:21 [DEBUG   ] [17/15408] raw_10s_60_0004_20260102-185031916_35C.fits
2026-06-03 14:10:21 [DEBUG   ] [18/15408] Barnard 33_30s60_Duo-Band_20260324-203732172_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [19/15408] Barnard 33_30s60_Duo-Band_20260324-203802171_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [20/15408] Barnard 33_30s60_Duo-Band_20260324-203832153_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [21/15408] Barnard 33_30s60_Duo-Band_20260324-203902136_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [22/15408] Barnard 33_30s60_Duo-Band_20260324-203932116_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [23/15408] Barnard 33_30s60_Duo-Band_20260324-204102049_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [24/15408] Barnard 33_30s60_Duo-Band_20260324-204132032_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [25/15408] Barnard 33_30s60_Duo-Band_20260324-204202020_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [26/15408] Barnard 33_30s60_Duo-Band_20260324-204232004_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [27/15408] Barnard 33_30s60_Duo-Band_20260324-204301987_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [28/15408] Barnard 33_30s60_Duo-Band_20260324-204331969_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [29/15408] Barnard 33_30s60_Duo-Band_20260324-204431919_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [30/15408] Barnard 33_30s60_Duo-Band_20260324-204501900_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [31/15408] Barnard 33_30s60_Duo-Band_20260324-204531894_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [32/15408] Barnard 33_30s60_Duo-Band_20260324-204601875_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [33/15408] Barnard 33_30s60_Duo-Band_20260324-204631856_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [34/15408] Barnard 33_30s60_Duo-Band_20260324-204701838_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [35/15408] Barnard 33_30s60_Duo-Band_20260324-204801790_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [36/15408] Barnard 33_30s60_Duo-Band_20260324-204831772_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [37/15408] Barnard 33_30s60_Duo-Band_20260324-204901753_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [38/15408] Barnard 33_30s60_Duo-Band_20260324-204931742_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [39/15408] Barnard 33_30s60_Duo-Band_20260324-205001727_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [40/15408] Barnard 33_30s60_Duo-Band_20260324-205031709_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [41/15408] Barnard 33_30s60_Duo-Band_20260324-205131660_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [42/15408] Barnard 33_30s60_Duo-Band_20260324-205201642_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [43/15408] Barnard 33_30s60_Duo-Band_20260324-205231624_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [44/15408] Barnard 33_30s60_Duo-Band_20260324-205301615_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [45/15408] Barnard 33_30s60_Duo-Band_20260324-205331598_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [46/15408] Barnard 33_30s60_Duo-Band_20260324-205401579_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [47/15408] Barnard 33_30s60_Duo-Band_20260324-205501530_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [48/15408] Barnard 33_30s60_Duo-Band_20260324-205531513_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [49/15408] Barnard 33_30s60_Duo-Band_20260324-205601496_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [50/15408] Barnard 33_30s60_Duo-Band_20260324-205631487_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [51/15408] Barnard 33_30s60_Duo-Band_20260324-205701460_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [52/15408] Barnard 33_30s60_Duo-Band_20260324-205731449_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [53/15408] Barnard 33_30s60_Duo-Band_20260324-205831402_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [54/15408] Barnard 33_30s60_Duo-Band_20260324-205901384_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [55/15408] Barnard 33_30s60_Duo-Band_20260324-205931375_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [56/15408] Barnard 33_30s60_Duo-Band_20260324-210001363_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [57/15408] Barnard 33_30s60_Duo-Band_20260324-210031339_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [58/15408] Barnard 33_30s60_Duo-Band_20260324-210101330_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [59/15408] Barnard 33_30s60_Duo-Band_20260324-210201272_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [60/15408] Barnard 33_30s60_Duo-Band_20260324-210231256_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [61/15408] Barnard 33_30s60_Duo-Band_20260324-210301247_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [62/15408] Barnard 33_30s60_Duo-Band_20260324-210331227_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [63/15408] Barnard 33_30s60_Duo-Band_20260324-210401209_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [64/15408] Barnard 33_30s60_Duo-Band_20260324-210431191_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [65/15408] Barnard 33_30s60_Duo-Band_20260324-210531143_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [66/15408] Barnard 33_30s60_Duo-Band_20260324-210601126_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [67/15408] Barnard 33_30s60_Duo-Band_20260324-210631116_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [68/15408] Barnard 33_30s60_Duo-Band_20260324-210701103_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [69/15408] Barnard 33_30s60_Duo-Band_20260324-210731080_36C.fits
